store_id,sku_id,system_stock,physical_stock,stockout,stock_variance,inventory_accuracy_pct
ST025,SKU0026,34,35,No,1,100.0
ST008,SKU0322,33,33,No,0,100.0
ST041,SKU0233,32,25,No,-7,78.1
ST094,SKU0428,37,51,No,14,100.0
ST089,SKU0242,43,26,No,-17,60.5
ST076,SKU0247,27,32,No,5,100.0
ST026,SKU0220,20,8,No,-12,40.0
ST002,SKU0495,50,48,No,-2,96.0
ST084,SKU0304,34,34,No,0,100.0
ST012,SKU0409,43,33,No,-10,76.7
ST051,SKU0137,38,30,No,-8,78.9
ST076,SKU0356,43,43,No,0,100.0
ST006,SKU0471,36,44,No,8,100.0
ST054,SKU0270,35,36,No,1,100.0
ST045,SKU0031,37,25,No,-12,67.6
ST086,SKU0250,33,29,No,-4,87.9
ST079,SKU0171,29,23,No,-6,79.3
ST075,SKU0477,41,37,No,-4,90.2
ST047,SKU0173,38,41,No,3,100.0
ST017,SKU0011,36,36,No,0,100.0
ST068,SKU0293,32,49,No,17,100.0
ST075,SKU0349,33,44,No,11,100.0
ST074,SKU0374,42,48,No,6,100.0
ST069,SKU0223,33,33,No,0,100.0
ST050,SKU0067,41,23,No,-18,56.1
ST024,SKU0024,32,30,No,-2,93.8
ST045,SKU0169,40,41,No,1,100.0
ST086,SKU0496,23,12,No,-11,52.2
ST005,SKU0070,26,30,No,4,100.0
ST013,SKU0454,42,24,No,-18,57.1
ST060,SKU0160,32,21,No,-11,65.6
ST008,SKU0057,38,27,No,-11,71.1
ST030,SKU0409,35,43,No,8,100.0
ST096,SKU0170,27,31,No,4,100.0
ST021,SKU0437,34,42,No,8,100.0
ST084,SKU0296,35,37,No,2,100.0
ST053,SKU0439,34,41,No,7,100.0
ST065,SKU0117,37,52,No,15,100.0
ST025,SKU0293,24,6,No,-18,25.0
ST017,SKU0347,32,34,No,2,100.0
ST078,SKU0347,37,40,No,3,100.0
ST070,SKU0359,36,51,No,15,100.0
ST011,SKU0053,35,39,No,4,100.0
ST057,SKU0097,31,17,No,-14,54.8
ST005,SKU0071,42,48,No,6,100.0
ST020,SKU0052,36,29,No,-7,80.6
ST008,SKU0177,28,35,No,7,100.0
ST009,SKU0458,28,36,No,8,100.0
ST042,SKU0181,30,27,No,-3,90.0
ST015,SKU0322,34,49,No,15,100.0
ST060,SKU0477,48,65,No,17,100.0
ST066,SKU0099,32,18,No,-14,56.2
ST026,SKU0098,26,23,No,-3,88.5
ST003,SKU0161,44,62,No,18,100.0
ST002,SKU0296,33,29,No,-4,87.9
ST010,SKU0220,28,26,No,-2,92.9
ST035,SKU0152,39,32,No,-7,82.1
ST001,SKU0284,34,34,No,0,100.0
ST091,SKU0098,24,29,No,5,100.0
ST032,SKU0491,34,20,No,-14,58.8
ST079,SKU0176,34,31,No,-3,91.2
ST084,SKU0319,31,31,No,0,100.0
ST018,SKU0420,29,30,No,1,100.0
ST076,SKU0163,41,39,No,-2,95.1
ST005,SKU0224,37,43,No,6,100.0
ST089,SKU0442,32,38,No,6,100.0
ST025,SKU0432,40,29,No,-11,72.5
ST087,SKU0453,40,47,No,7,100.0
ST062,SKU0189,37,37,No,0,100.0
ST096,SKU0002,31,47,No,16,100.0
ST016,SKU0205,41,40,No,-1,97.6
ST045,SKU0328,30,19,No,-11,63.3
ST032,SKU0137,28,33,No,5,100.0
ST067,SKU0204,22,31,No,9,100.0
ST021,SKU0409,38,38,No,0,100.0
ST068,SKU0014,39,33,No,-6,84.6
ST070,SKU0409,31,47,No,16,100.0
ST051,SKU0201,35,23,No,-12,65.7
ST021,SKU0121,28,41,No,13,100.0
ST069,SKU0369,35,30,No,-5,85.7
ST080,SKU0416,35,43,No,8,100.0
ST033,SKU0028,25,22,No,-3,88.0
ST009,SKU0372,41,43,No,2,100.0
ST085,SKU0269,35,36,No,1,100.0
ST028,SKU0499,42,43,No,1,100.0
ST011,SKU0374,33,42,No,9,100.0
ST026,SKU0335,33,23,No,-10,69.7
ST080,SKU0125,27,44,No,17,100.0
ST076,SKU0114,31,42,No,11,100.0
ST019,SKU0146,38,36,No,-2,94.7
ST060,SKU0415,33,30,No,-3,90.9
ST048,SKU0288,32,36,No,4,100.0
ST059,SKU0045,35,42,No,7,100.0
ST086,SKU0223,35,18,No,-17,51.4
ST019,SKU0442,40,26,No,-14,65.0
ST019,SKU0280,31,19,No,-12,61.3
ST017,SKU0259,29,34,No,5,100.0
ST044,SKU0474,32,19,No,-13,59.4
ST060,SKU0152,41,24,No,-17,58.5
ST061,SKU0457,34,38,No,4,100.0
ST033,SKU0119,39,57,No,18,100.0
ST063,SKU0217,38,36,No,-2,94.7
ST056,SKU0438,40,39,No,-1,97.5
ST076,SKU0352,31,44,No,13,100.0
ST023,SKU0322,31,26,No,-5,83.9
ST060,SKU0036,36,33,No,-3,91.7
ST003,SKU0200,31,46,No,15,100.0
ST058,SKU0274,41,41,No,0,100.0
ST054,SKU0280,44,40,No,-4,90.9
ST022,SKU0094,45,61,No,16,100.0
ST073,SKU0313,33,49,No,16,100.0
ST093,SKU0303,31,15,No,-16,48.4
ST036,SKU0422,32,31,No,-1,96.9
ST022,SKU0031,38,54,No,16,100.0
ST098,SKU0319,37,37,No,0,100.0
ST062,SKU0119,31,45,No,14,100.0
ST080,SKU0458,27,22,No,-5,81.5
ST066,SKU0126,42,58,No,16,100.0
ST059,SKU0416,46,48,No,2,100.0
ST095,SKU0139,36,48,No,12,100.0
ST051,SKU0110,34,34,No,0,100.0
ST028,SKU0084,30,16,No,-14,53.3
ST045,SKU0168,33,15,No,-18,45.5
ST030,SKU0253,40,30,No,-10,75.0
ST043,SKU0008,36,53,No,17,100.0
ST007,SKU0261,33,16,No,-17,48.5
ST030,SKU0384,30,30,No,0,100.0
ST075,SKU0495,27,26,No,-1,96.3
ST071,SKU0192,32,16,No,-16,50.0
ST003,SKU0144,43,49,No,6,100.0
ST073,SKU0347,35,32,No,-3,91.4
ST028,SKU0339,30,31,No,1,100.0
ST018,SKU0352,40,53,No,13,100.0
ST024,SKU0156,41,23,No,-18,56.1
ST072,SKU0418,32,31,No,-1,96.9
ST038,SKU0270,27,25,No,-2,92.6
ST009,SKU0387,35,25,No,-10,71.4
ST048,SKU0425,37,31,No,-6,83.8
ST018,SKU0038,33,39,No,6,100.0
ST063,SKU0066,36,49,No,13,100.0
ST049,SKU0403,34,16,No,-18,47.1
ST069,SKU0173,36,40,No,4,100.0
ST011,SKU0275,29,39,No,10,100.0
ST062,SKU0456,21,15,No,-6,71.4
ST013,SKU0251,32,35,No,3,100.0
ST079,SKU0084,34,49,No,15,100.0
ST013,SKU0026,29,20,No,-9,69.0
ST059,SKU0215,36,54,No,18,100.0
ST089,SKU0476,29,23,No,-6,79.3
ST037,SKU0436,41,28,No,-13,68.3
ST052,SKU0050,28,10,No,-18,35.7
ST083,SKU0487,36,27,No,-9,75.0
ST035,SKU0238,26,42,No,16,100.0
ST053,SKU0312,38,41,No,3,100.0
ST067,SKU0279,33,20,No,-13,60.6
ST026,SKU0222,18,2,No,-16,11.1
ST059,SKU0400,33,50,No,17,100.0
ST066,SKU0297,32,32,No,0,100.0
ST081,SKU0010,23,24,No,1,100.0
ST058,SKU0431,33,44,No,11,100.0
ST073,SKU0043,44,61,No,17,100.0
ST062,SKU0466,37,55,No,18,100.0
ST080,SKU0182,46,43,No,-3,93.5
ST086,SKU0067,28,43,No,15,100.0
ST066,SKU0488,26,35,No,9,100.0
ST020,SKU0281,36,27,No,-9,75.0
ST069,SKU0018,43,57,No,14,100.0
ST078,SKU0458,41,45,No,4,100.0
ST027,SKU0418,41,37,No,-4,90.2
ST026,SKU0393,34,44,No,10,100.0
ST025,SKU0469,25,22,No,-3,88.0
ST038,SKU0244,31,22,No,-9,71.0
ST054,SKU0052,39,32,No,-7,82.1
ST097,SKU0244,38,43,No,5,100.0
ST001,SKU0308,24,20,No,-4,83.3
ST005,SKU0328,35,30,No,-5,85.7
ST020,SKU0343,29,30,No,1,100.0
ST071,SKU0161,29,32,No,3,100.0
ST078,SKU0156,35,34,No,-1,97.1
ST041,SKU0246,38,37,No,-1,97.4
ST013,SKU0153,34,17,No,-17,50.0
ST026,SKU0022,35,47,No,12,100.0
ST071,SKU0302,25,22,No,-3,88.0
ST050,SKU0007,40,47,No,7,100.0
ST047,SKU0267,44,41,No,-3,93.2
ST055,SKU0287,44,29,No,-15,65.9
ST087,SKU0367,40,26,No,-14,65.0
ST012,SKU0344,28,30,No,2,100.0
ST095,SKU0278,28,33,No,5,100.0
ST020,SKU0082,30,25,No,-5,83.3
ST086,SKU0397,33,51,No,18,100.0
ST052,SKU0296,41,40,No,-1,97.6
ST010,SKU0390,29,24,No,-5,82.8
ST082,SKU0250,32,20,No,-12,62.5
ST077,SKU0271,39,21,No,-18,53.8
ST009,SKU0016,45,35,No,-10,77.8
ST087,SKU0096,30,16,No,-14,53.3
ST001,SKU0114,43,32,No,-11,74.4
ST015,SKU0086,26,23,No,-3,88.5
ST076,SKU0421,36,28,No,-8,77.8
ST031,SKU0133,40,45,No,5,100.0
ST095,SKU0254,41,51,No,10,100.0
ST033,SKU0141,30,29,No,-1,96.7
ST049,SKU0429,40,27,No,-13,67.5
ST018,SKU0481,42,25,No,-17,59.5
ST043,SKU0185,38,43,No,5,100.0
ST034,SKU0461,37,37,No,0,100.0
ST046,SKU0267,29,22,No,-7,75.9
ST040,SKU0342,30,29,No,-1,96.7
ST050,SKU0333,37,41,No,4,100.0
ST005,SKU0267,30,39,No,9,100.0
ST083,SKU0027,29,30,No,1,100.0
ST083,SKU0471,50,50,No,0,100.0
ST083,SKU0085,30,42,No,12,100.0
ST014,SKU0314,40,41,No,1,100.0
ST036,SKU0180,40,39,No,-1,97.5
ST090,SKU0477,46,45,No,-1,97.8
ST079,SKU0248,35,30,No,-5,85.7
ST016,SKU0197,42,37,No,-5,88.1
ST006,SKU0450,31,38,No,7,100.0
ST032,SKU0062,25,39,No,14,100.0
ST078,SKU0149,42,58,No,16,100.0
ST099,SKU0230,35,29,No,-6,82.9
ST029,SKU0462,37,43,No,6,100.0
ST031,SKU0112,31,22,No,-9,71.0
ST050,SKU0119,29,38,No,9,100.0
ST075,SKU0191,36,30,No,-6,83.3
ST003,SKU0141,35,36,No,1,100.0
ST020,SKU0142,32,36,No,4,100.0
ST081,SKU0143,37,55,No,18,100.0
ST082,SKU0443,33,31,No,-2,93.9
ST041,SKU0407,44,33,No,-11,75.0
ST004,SKU0039,36,47,No,11,100.0
ST060,SKU0068,42,53,No,11,100.0
ST019,SKU0336,33,19,No,-14,57.6
ST071,SKU0456,35,17,No,-18,48.6
ST041,SKU0290,35,25,No,-10,71.4
ST018,SKU0122,40,56,No,16,100.0
ST091,SKU0196,43,43,No,0,100.0
ST054,SKU0018,39,52,No,13,100.0
ST007,SKU0270,30,41,No,11,100.0
ST049,SKU0184,39,47,No,8,100.0
ST097,SKU0341,21,23,No,2,100.0
ST078,SKU0091,35,46,No,11,100.0
ST078,SKU0226,36,38,No,2,100.0
ST010,SKU0305,30,34,No,4,100.0
ST039,SKU0480,28,28,No,0,100.0
ST020,SKU0482,34,35,No,1,100.0
ST093,SKU0132,52,48,No,-4,92.3
ST078,SKU0342,43,35,No,-8,81.4
ST087,SKU0034,33,24,No,-9,72.7
ST097,SKU0070,46,43,No,-3,93.5
ST027,SKU0389,32,19,No,-13,59.4
ST082,SKU0173,36,42,No,6,100.0
ST055,SKU0014,30,27,No,-3,90.0
ST085,SKU0238,23,28,No,5,100.0
ST020,SKU0279,36,26,No,-10,72.2
ST094,SKU0447,31,33,No,2,100.0
ST019,SKU0377,32,28,No,-4,87.5
ST030,SKU0396,25,27,No,2,100.0
ST067,SKU0164,34,36,No,2,100.0
ST023,SKU0304,37,49,No,12,100.0
ST042,SKU0067,34,37,No,3,100.0
ST085,SKU0119,36,34,No,-2,94.4
ST099,SKU0440,29,27,No,-2,93.1
ST057,SKU0255,36,50,No,14,100.0
ST067,SKU0407,35,27,No,-8,77.1
ST063,SKU0339,39,36,No,-3,92.3
ST033,SKU0367,34,44,No,10,100.0
ST100,SKU0198,39,26,No,-13,66.7
ST001,SKU0125,40,51,No,11,100.0
ST007,SKU0498,27,44,No,17,100.0
ST100,SKU0081,49,37,No,-12,75.5
ST092,SKU0174,33,42,No,9,100.0
ST013,SKU0194,33,42,No,9,100.0
ST024,SKU0034,38,42,No,4,100.0
ST087,SKU0232,23,33,No,10,100.0
ST002,SKU0294,36,39,No,3,100.0
ST052,SKU0096,33,16,No,-17,48.5
ST074,SKU0431,25,18,No,-7,72.0
ST020,SKU0435,32,15,No,-17,46.9
ST006,SKU0402,35,37,No,2,100.0
ST057,SKU0128,36,38,No,2,100.0
ST009,SKU0069,31,20,No,-11,64.5
ST060,SKU0092,39,23,No,-16,59.0
ST080,SKU0461,29,34,No,5,100.0
ST076,SKU0035,29,28,No,-1,96.6
ST058,SKU0361,41,49,No,8,100.0
ST096,SKU0480,30,23,No,-7,76.7
ST033,SKU0160,38,35,No,-3,92.1
ST049,SKU0413,24,21,No,-3,87.5
ST066,SKU0066,32,27,No,-5,84.4
ST024,SKU0077,40,58,No,18,100.0
ST001,SKU0454,34,36,No,2,100.0
ST070,SKU0251,41,39,No,-2,95.1
ST091,SKU0464,29,32,No,3,100.0
ST089,SKU0178,46,46,No,0,100.0
ST001,SKU0335,43,47,No,4,100.0
ST072,SKU0489,36,31,No,-5,86.1
ST095,SKU0219,34,48,No,14,100.0
ST009,SKU0424,34,34,No,0,100.0
ST024,SKU0032,25,38,No,13,100.0
ST034,SKU0412,38,39,No,1,100.0
ST070,SKU0317,43,56,No,13,100.0
ST097,SKU0068,35,43,No,8,100.0
ST073,SKU0310,46,49,No,3,100.0
ST005,SKU0194,35,52,No,17,100.0
ST009,SKU0173,26,22,No,-4,84.6
ST045,SKU0185,33,23,No,-10,69.7
ST086,SKU0188,25,19,No,-6,76.0
ST077,SKU0356,40,23,No,-17,57.5
ST040,SKU0462,25,35,No,10,100.0
ST037,SKU0278,31,13,No,-18,41.9
ST036,SKU0140,30,35,No,5,100.0
ST090,SKU0064,31,37,No,6,100.0
ST042,SKU0150,29,42,No,13,100.0
ST055,SKU0327,39,27,No,-12,69.2
ST009,SKU0465,32,16,No,-16,50.0
ST051,SKU0291,28,25,No,-3,89.3
ST017,SKU0453,26,14,No,-12,53.8
ST052,SKU0145,33,33,No,0,100.0
ST011,SKU0217,38,36,No,-2,94.7
ST092,SKU0117,36,24,No,-12,66.7
ST030,SKU0091,42,48,No,6,100.0
ST037,SKU0414,36,42,No,6,100.0
ST009,SKU0059,31,32,No,1,100.0
ST072,SKU0342,38,32,No,-6,84.2
ST051,SKU0007,30,21,No,-9,70.0
ST040,SKU0391,35,40,No,5,100.0
ST070,SKU0050,36,31,No,-5,86.1
ST045,SKU0253,45,42,No,-3,93.3
ST069,SKU0206,26,26,No,0,100.0
ST052,SKU0324,31,14,No,-17,45.2
ST078,SKU0287,30,27,No,-3,90.0
ST067,SKU0214,33,17,No,-16,51.5
ST001,SKU0366,33,31,No,-2,93.9
ST064,SKU0057,42,51,No,9,100.0
ST065,SKU0439,25,26,No,1,100.0
ST076,SKU0129,34,17,No,-17,50.0
ST051,SKU0119,31,26,No,-5,83.9
ST079,SKU0048,26,26,No,0,100.0
ST003,SKU0482,42,47,No,5,100.0
ST010,SKU0304,25,27,No,2,100.0
ST029,SKU0114,31,25,No,-6,80.6
ST019,SKU0407,33,30,No,-3,90.9
ST085,SKU0306,40,45,No,5,100.0
ST006,SKU0376,33,31,No,-2,93.9
ST077,SKU0098,35,21,No,-14,60.0
ST097,SKU0059,31,39,No,8,100.0
ST018,SKU0487,29,38,No,9,100.0
ST047,SKU0193,42,56,No,14,100.0
ST050,SKU0098,30,26,No,-4,86.7
ST076,SKU0435,35,45,No,10,100.0
ST100,SKU0099,37,27,No,-10,73.0
ST097,SKU0024,25,7,No,-18,28.0
ST059,SKU0199,36,30,No,-6,83.3
ST021,SKU0365,24,17,No,-7,70.8
ST079,SKU0263,31,19,No,-12,61.3
ST013,SKU0123,36,23,No,-13,63.9
ST098,SKU0251,37,47,No,10,100.0
ST059,SKU0369,34,23,No,-11,67.6
ST015,SKU0065,34,46,No,12,100.0
ST092,SKU0305,28,27,No,-1,96.4
ST096,SKU0280,35,19,No,-16,54.3
ST090,SKU0240,35,47,No,12,100.0
ST027,SKU0388,30,38,No,8,100.0
ST041,SKU0440,45,33,No,-12,73.3
ST059,SKU0436,32,17,No,-15,53.1
ST019,SKU0085,33,33,No,0,100.0
ST082,SKU0044,30,32,No,2,100.0
ST013,SKU0308,31,14,No,-17,45.2
ST006,SKU0031,33,34,No,1,100.0
ST072,SKU0027,25,40,No,15,100.0
ST017,SKU0194,37,26,No,-11,70.3
ST030,SKU0114,30,46,No,16,100.0
ST006,SKU0314,22,13,No,-9,59.1
ST015,SKU0390,31,31,No,0,100.0
ST093,SKU0438,31,27,No,-4,87.1
ST049,SKU0382,34,28,No,-6,82.4
ST068,SKU0067,25,23,No,-2,92.0
ST087,SKU0251,28,12,No,-16,42.9
ST057,SKU0444,30,17,No,-13,56.7
ST021,SKU0081,40,51,No,11,100.0
ST034,SKU0019,33,34,No,1,100.0
ST007,SKU0131,34,43,No,9,100.0
ST020,SKU0440,25,32,No,7,100.0
ST024,SKU0257,31,48,No,17,100.0
ST016,SKU0123,36,40,No,4,100.0
ST015,SKU0201,37,38,No,1,100.0
ST097,SKU0296,41,49,No,8,100.0
ST059,SKU0093,28,40,No,12,100.0
ST082,SKU0467,35,21,No,-14,60.0
ST008,SKU0246,30,42,No,12,100.0
ST071,SKU0014,40,44,No,4,100.0
ST070,SKU0027,39,32,No,-7,82.1
ST073,SKU0418,26,28,No,2,100.0
ST070,SKU0414,32,23,No,-9,71.9
ST035,SKU0368,33,31,No,-2,93.9
ST028,SKU0386,44,58,No,14,100.0
ST082,SKU0040,28,43,No,15,100.0
ST071,SKU0069,43,45,No,2,100.0
ST066,SKU0007,41,33,No,-8,80.5
ST007,SKU0108,37,42,No,5,100.0
ST088,SKU0153,37,33,No,-4,89.2
ST056,SKU0498,18,30,No,12,100.0
ST029,SKU0050,26,40,No,14,100.0
ST083,SKU0296,33,22,No,-11,66.7
ST081,SKU0284,33,31,No,-2,93.9
ST029,SKU0111,31,15,No,-16,48.4
ST042,SKU0174,32,31,No,-1,96.9
ST026,SKU0031,36,21,No,-15,58.3
ST003,SKU0036,37,39,No,2,100.0
ST024,SKU0247,34,41,No,7,100.0
ST019,SKU0304,38,20,No,-18,52.6
ST097,SKU0267,37,21,No,-16,56.8
ST078,SKU0498,36,28,No,-8,77.8
ST087,SKU0400,41,53,No,12,100.0
ST045,SKU0098,43,34,No,-9,79.1
ST076,SKU0055,41,26,No,-15,63.4
ST088,SKU0388,27,36,No,9,100.0
ST074,SKU0333,22,4,No,-18,18.2
ST014,SKU0113,33,18,No,-15,54.5
ST066,SKU0447,18,26,No,8,100.0
ST046,SKU0117,48,36,No,-12,75.0
ST060,SKU0228,32,24,No,-8,75.0
ST044,SKU0320,42,40,No,-2,95.2
ST064,SKU0373,36,18,No,-18,50.0
ST045,SKU0210,49,57,No,8,100.0
ST039,SKU0216,39,23,No,-16,59.0
ST010,SKU0226,35,29,No,-6,82.9
ST082,SKU0399,40,23,No,-17,57.5
ST036,SKU0014,34,29,No,-5,85.3
ST044,SKU0049,40,53,No,13,100.0
ST100,SKU0204,34,50,No,16,100.0
ST056,SKU0052,37,23,No,-14,62.2
ST100,SKU0436,42,43,No,1,100.0
ST094,SKU0123,42,38,No,-4,90.5
ST060,SKU0419,28,29,No,1,100.0
ST005,SKU0148,37,39,No,2,100.0
ST065,SKU0344,40,24,No,-16,60.0
ST062,SKU0388,37,32,No,-5,86.5
ST064,SKU0402,37,37,No,0,100.0
ST014,SKU0184,33,39,No,6,100.0
ST070,SKU0261,50,52,No,2,100.0
ST047,SKU0469,25,19,No,-6,76.0
ST053,SKU0072,29,15,No,-14,51.7
ST040,SKU0280,36,40,No,4,100.0
ST078,SKU0329,41,32,No,-9,78.0
ST010,SKU0464,44,56,No,12,100.0
ST084,SKU0320,34,33,No,-1,97.1
ST089,SKU0406,27,35,No,8,100.0
ST029,SKU0295,38,25,No,-13,65.8
ST079,SKU0333,31,36,No,5,100.0
ST010,SKU0376,37,42,No,5,100.0
ST062,SKU0457,40,38,No,-2,95.0
ST088,SKU0478,28,28,No,0,100.0
ST063,SKU0237,33,19,No,-14,57.6
ST009,SKU0186,38,36,No,-2,94.7
ST007,SKU0129,27,36,No,9,100.0
ST034,SKU0270,38,46,No,8,100.0
ST045,SKU0434,38,48,No,10,100.0
ST084,SKU0298,46,56,No,10,100.0
ST018,SKU0223,40,37,No,-3,92.5
ST041,SKU0400,41,50,No,9,100.0
ST065,SKU0392,34,31,No,-3,91.2
ST036,SKU0383,38,34,No,-4,89.5
ST004,SKU0402,28,14,No,-14,50.0
ST025,SKU0497,40,25,No,-15,62.5
ST084,SKU0110,25,35,No,10,100.0
ST046,SKU0460,29,32,No,3,100.0
ST044,SKU0345,33,36,No,3,100.0
ST098,SKU0247,40,42,No,2,100.0
ST087,SKU0264,44,43,No,-1,97.7
ST020,SKU0433,32,23,No,-9,71.9
ST094,SKU0101,29,26,No,-3,89.7
ST058,SKU0172,45,55,No,10,100.0
ST019,SKU0401,38,38,No,0,100.0
ST099,SKU0274,39,39,No,0,100.0
ST083,SKU0434,25,22,No,-3,88.0
ST022,SKU0158,31,42,No,11,100.0
ST044,SKU0161,31,34,No,3,100.0
ST019,SKU0137,40,38,No,-2,95.0
ST057,SKU0355,30,39,No,9,100.0
ST008,SKU0249,31,43,No,12,100.0
ST057,SKU0213,40,40,No,0,100.0
ST037,SKU0124,44,39,No,-5,88.6
ST017,SKU0297,31,45,No,14,100.0
ST069,SKU0301,41,43,No,2,100.0
ST092,SKU0022,40,55,No,15,100.0
ST094,SKU0434,46,43,No,-3,93.5
ST095,SKU0169,31,35,No,4,100.0
ST080,SKU0479,26,35,No,9,100.0
ST015,SKU0416,36,29,No,-7,80.6
ST030,SKU0248,31,35,No,4,100.0
ST092,SKU0169,34,49,No,15,100.0
ST075,SKU0118,45,40,No,-5,88.9
ST002,SKU0398,52,57,No,5,100.0
ST012,SKU0382,31,19,No,-12,61.3
ST080,SKU0453,42,35,No,-7,83.3
ST080,SKU0472,42,35,No,-7,83.3
ST024,SKU0484,31,37,No,6,100.0
ST025,SKU0130,31,33,No,2,100.0
ST093,SKU0073,29,30,No,1,100.0
ST080,SKU0223,44,43,No,-1,97.7
ST067,SKU0182,43,36,No,-7,83.7
ST047,SKU0343,30,28,No,-2,93.3
ST038,SKU0045,33,29,No,-4,87.9
ST028,SKU0487,34,22,No,-12,64.7
ST065,SKU0049,45,38,No,-7,84.4
ST094,SKU0487,32,25,No,-7,78.1
ST035,SKU0377,36,37,No,1,100.0
ST092,SKU0048,34,22,No,-12,64.7
ST024,SKU0496,43,47,No,4,100.0
ST056,SKU0107,44,31,No,-13,70.5
ST003,SKU0097,32,16,No,-16,50.0
ST020,SKU0294,38,49,No,11,100.0
ST009,SKU0363,45,60,No,15,100.0
ST001,SKU0280,39,40,No,1,100.0
ST022,SKU0390,29,46,No,17,100.0
ST019,SKU0285,34,32,No,-2,94.1
ST022,SKU0364,31,33,No,2,100.0
ST084,SKU0305,37,36,No,-1,97.3
ST025,SKU0291,35,23,No,-12,65.7
ST007,SKU0185,39,38,No,-1,97.4
ST022,SKU0454,47,36,No,-11,76.6
ST060,SKU0194,40,57,No,17,100.0
ST100,SKU0063,36,19,No,-17,52.8
ST067,SKU0039,37,38,No,1,100.0
ST063,SKU0349,32,44,No,12,100.0
ST014,SKU0256,32,20,No,-12,62.5
ST014,SKU0183,44,29,No,-15,65.9
ST069,SKU0496,39,22,No,-17,56.4
ST066,SKU0213,25,13,No,-12,52.0
ST016,SKU0390,42,35,No,-7,83.3
ST070,SKU0417,32,19,No,-13,59.4
ST029,SKU0333,25,22,No,-3,88.0
ST090,SKU0074,41,23,No,-18,56.1
ST001,SKU0032,25,41,No,16,100.0
ST094,SKU0115,27,16,No,-11,59.3
ST065,SKU0202,35,32,No,-3,91.4
ST076,SKU0450,40,43,No,3,100.0
ST029,SKU0113,27,26,No,-1,96.3
ST042,SKU0304,33,48,No,15,100.0
ST068,SKU0025,24,31,No,7,100.0
ST026,SKU0323,35,39,No,4,100.0
ST004,SKU0248,30,19,No,-11,63.3
ST040,SKU0096,35,20,No,-15,57.1
ST034,SKU0139,30,12,No,-18,40.0
ST088,SKU0112,26,8,No,-18,30.8
ST064,SKU0480,33,33,No,0,100.0
ST006,SKU0481,27,27,No,0,100.0
ST087,SKU0288,30,24,No,-6,80.0
ST020,SKU0396,29,30,No,1,100.0
ST031,SKU0246,27,24,No,-3,88.9
ST089,SKU0378,34,51,No,17,100.0
ST056,SKU0096,42,29,No,-13,69.0
ST029,SKU0411,41,44,No,3,100.0
ST045,SKU0358,31,46,No,15,100.0
ST084,SKU0297,32,41,No,9,100.0
ST013,SKU0017,39,49,No,10,100.0
ST050,SKU0446,35,25,No,-10,71.4
ST045,SKU0248,36,39,No,3,100.0
ST036,SKU0247,39,23,No,-16,59.0
ST083,SKU0159,42,49,No,7,100.0
ST094,SKU0288,38,41,No,3,100.0
ST015,SKU0396,38,37,No,-1,97.4
ST058,SKU0495,52,63,No,11,100.0
ST053,SKU0405,42,25,No,-17,59.5
ST082,SKU0120,39,43,No,4,100.0
ST062,SKU0155,30,25,No,-5,83.3
ST001,SKU0052,38,40,No,2,100.0
ST073,SKU0177,24,17,No,-7,70.8
ST054,SKU0440,37,50,No,13,100.0
