order_id,picker_id,pick_start,pick_end,items_picked,items_missing,pick_duration_minutes
ORD-086603,PICK00878,2026-09-30 19:57:00,2026-09-30 20:17:18.956595966,8,0,20.3
ORD-063394,PICK00107,2026-09-11 11:07:00,2026-09-11 11:16:59.656783548,3,1,10.0
ORD-020073,PICK00141,2026-09-21 18:38:00,2026-09-21 19:03:05.152569378,11,0,25.1
ORD-075903,PICK00252,2026-09-11 02:34:00,2026-09-11 02:46:00.441857232,5,0,12.0
ORD-051021,PICK01080,2026-09-27 17:18:00,2026-09-27 17:31:21.192147306,4,0,13.4
ORD-032507,PICK00137,2026-09-04 20:24:00,2026-09-04 20:35:39.704318106,6,0,11.7
ORD-069020,PICK00021,2026-09-04 18:28:00,2026-09-04 18:44:17.202036990,8,1,16.3
ORD-078229,PICK00774,2026-09-17 01:51:00,2026-09-17 01:58:32.632527552,4,0,7.5
ORD-071528,PICK00443,2026-09-16 19:38:00,2026-09-16 19:52:08.652584232,3,0,14.1
ORD-072921,PICK00534,2026-09-15 16:21:00,2026-09-15 16:31:20.709306816,2,0,10.3
ORD-042377,PICK00341,2026-09-17 14:25:00,2026-09-17 14:40:46.306703448,7,0,15.8
ORD-022131,PICK00113,2026-09-29 03:35:00,2026-09-29 03:42:02.585804346,2,1,7.0
ORD-015189,PICK00083,2026-09-07 15:35:00,2026-09-07 15:50:10.838653206,3,0,15.2
ORD-031015,PICK00192,2026-09-06 23:46:00,2026-09-06 23:56:27.016396524,4,0,10.5
ORD-096185,PICK00828,2026-09-03 20:37:00,2026-09-03 20:48:02.555859006,5,0,11.0
ORD-020929,PICK00914,2026-09-16 08:00:00,2026-09-16 08:18:13.508164932,4,1,18.2
ORD-047108,PICK00404,2026-09-09 23:56:00,2026-09-10 00:10:21.774646128,5,0,14.4
ORD-053317,PICK00212,2026-09-22 01:50:00,2026-09-22 02:09:24.420854886,8,0,19.4
ORD-016414,PICK00895,2026-09-21 05:47:00,2026-09-21 05:53:24.880152030,2,0,6.4
ORD-052900,PICK00867,2026-09-24 12:57:00,2026-09-24 13:13:12.279907092,6,0,16.2
ORD-038951,PICK00606,2026-09-02 10:09:00,2026-09-02 10:24:29.885554776,10,0,15.5
ORD-093812,PICK00409,2026-09-02 15:47:00,2026-09-02 15:52:03.468702114,2,0,5.1
ORD-087499,PICK00393,2026-09-29 04:17:00,2026-09-29 04:27:18.684362766,5,0,10.3
ORD-063789,PICK00150,2026-09-25 20:09:00,2026-09-25 20:19:53.501248158,5,0,10.9
ORD-000248,PICK00709,2026-09-18 17:42:00,2026-09-18 17:52:54.526505880,7,0,10.9
ORD-071668,PICK00784,2026-09-22 05:29:00,2026-09-22 05:48:23.684839008,7,0,19.4
ORD-021538,PICK01173,2026-09-25 02:03:00,2026-09-25 02:08:43.457005998,2,0,5.7
ORD-055089,PICK00480,2026-09-26 18:10:00,2026-09-26 18:23:04.046546538,4,0,13.1
ORD-095411,PICK00210,2026-09-22 23:22:00,2026-09-22 23:27:17.959414278,6,0,5.3
ORD-043339,PICK00666,2026-09-01 17:01:00,2026-09-01 17:12:00.069050538,5,0,11.0
ORD-019856,PICK00293,2026-09-06 06:05:00,2026-09-06 06:13:59.662099194,5,0,9.0
ORD-076393,PICK00408,2026-09-11 01:46:00,2026-09-11 01:57:42.478544034,5,0,11.7
ORD-053322,PICK00345,2026-09-22 18:48:00,2026-09-22 19:02:50.010806130,9,0,14.8
ORD-026965,PICK00039,2026-09-09 12:50:00,2026-09-09 13:12:09.924843564,9,0,22.2
ORD-022256,PICK00593,2026-09-04 19:09:00,2026-09-04 19:21:13.314858750,2,0,12.2
ORD-004151,PICK01017,2026-09-26 18:30:00,2026-09-26 18:45:41.234559354,6,0,15.7
ORD-017559,PICK00105,2026-09-22 03:30:00,2026-09-22 03:42:00.831673230,4,0,12.0
ORD-011088,PICK00799,2026-09-26 16:05:00,2026-09-26 16:17:15.135291689,4,1,12.3
ORD-094664,PICK01015,2026-09-21 07:53:00,2026-09-21 08:07:07.846942716,5,0,14.1
ORD-042057,PICK01167,2026-09-17 17:12:00,2026-09-17 17:31:22.142274552,7,0,19.4
ORD-035200,PICK01125,2026-09-13 02:01:00,2026-09-13 02:22:23.688769230,9,0,21.4
ORD-072171,PICK00974,2026-09-05 20:36:00,2026-09-05 20:52:23.193120990,4,0,16.4
ORD-076242,PICK00661,2026-09-02 20:01:00,2026-09-02 20:12:59.592598962,4,0,12.0
ORD-078991,PICK00920,2026-09-30 19:15:00,2026-09-30 19:32:50.105837268,4,1,17.8
ORD-059948,PICK00943,2026-09-02 02:45:00,2026-09-02 02:58:16.523061570,3,0,13.3
ORD-014672,PICK00580,2026-09-24 17:06:00,2026-09-24 17:21:31.161920675,6,0,15.5
ORD-060209,PICK00971,2026-09-01 22:40:00,2026-09-01 22:53:19.625033262,4,0,13.3
ORD-081444,PICK00295,2026-09-28 09:29:00,2026-09-28 09:51:15.707234525,5,0,22.3
ORD-029124,PICK01134,2026-09-19 01:16:00,2026-09-19 01:40:01.244487840,7,0,24.0
ORD-052590,PICK00277,2026-09-11 22:00:00,2026-09-11 22:03:37.280637204,3,0,3.6
ORD-011754,PICK00769,2026-09-05 13:15:00,2026-09-05 13:31:32.163132426,7,0,16.5
ORD-019653,PICK00613,2026-09-16 11:01:00,2026-09-16 11:10:13.240627302,2,0,9.2
ORD-081248,PICK00045,2026-09-04 03:19:00,2026-09-04 03:30:31.678227108,4,0,11.5
ORD-082438,PICK00379,2026-09-27 16:02:00,2026-09-27 16:18:53.082666102,4,0,16.9
ORD-009367,PICK00476,2026-09-19 05:37:00,2026-09-19 05:54:10.499160012,6,0,17.2
ORD-099715,PICK00860,2026-09-06 12:42:00,2026-09-06 13:02:12.657392436,9,0,20.2
ORD-016683,PICK00628,2026-09-17 04:48:00,2026-09-17 05:04:32.405968422,6,0,16.5
ORD-039203,PICK00465,2026-09-30 13:12:00,2026-09-30 13:28:44.578079544,7,0,16.7
ORD-026759,PICK00039,2026-09-26 21:08:00,2026-09-26 21:19:06.549668244,7,0,11.1
ORD-072324,PICK00405,2026-09-10 18:07:00,2026-09-10 18:31:59.422571256,7,0,25.0
ORD-043526,PICK00828,2026-09-14 15:42:00,2026-09-14 15:54:21.496419966,4,0,12.4
ORD-081761,PICK00433,2026-09-06 21:38:00,2026-09-06 21:52:03.594727668,5,0,14.1
ORD-051345,PICK00911,2026-09-14 07:51:00,2026-09-14 08:06:18.930417780,5,0,15.3
ORD-006600,PICK00819,2026-09-25 15:35:00,2026-09-25 15:47:58.409192112,5,0,13.0
ORD-076528,PICK00610,2026-09-05 05:17:00,2026-09-05 05:27:52.769523132,4,0,10.9
ORD-081020,PICK00411,2026-09-11 01:12:00,2026-09-11 01:24:35.420049090,6,0,12.6
ORD-046055,PICK00004,2026-09-12 06:58:00,2026-09-12 07:09:20.913951624,6,1,11.3
ORD-005176,PICK00829,2026-09-16 21:20:00,2026-09-16 21:36:18.588305838,8,0,16.3
ORD-073489,PICK00792,2026-09-20 15:21:00,2026-09-20 15:30:39.302650470,2,0,9.7
ORD-064084,PICK00219,2026-09-22 10:58:00,2026-09-22 11:13:27.278474616,5,1,15.5
ORD-004058,PICK01013,2026-09-08 16:53:00,2026-09-08 17:00:39.649559430,2,0,7.7
ORD-009584,PICK00665,2026-09-02 14:27:00,2026-09-02 14:40:39.511555452,4,0,13.7
ORD-044678,PICK00152,2026-09-22 19:45:00,2026-09-22 20:01:55.310137842,7,0,16.9
ORD-070900,PICK00493,2026-09-13 01:49:00,2026-09-13 02:05:23.749793562,5,0,16.4
ORD-088908,PICK00999,2026-09-27 04:52:00,2026-09-27 04:58:48.010581276,4,0,6.8
ORD-022145,PICK01022,2026-09-26 01:28:00,2026-09-26 01:35:57.870881214,2,0,8.0
ORD-042487,PICK01123,2026-09-15 04:03:00,2026-09-15 04:18:33.945728964,6,1,15.6
ORD-011644,PICK00965,2026-09-02 09:44:00,2026-09-02 09:51:48.532930884,3,0,7.8
ORD-086808,PICK00812,2026-09-18 03:27:00,2026-09-18 03:42:18.581995272,3,0,15.3
ORD-049279,PICK00756,2026-09-07 12:42:00,2026-09-07 12:51:15.453549474,3,0,9.3
ORD-040770,PICK00807,2026-09-14 10:22:00,2026-09-14 10:36:04.788402930,5,0,14.1
ORD-045230,PICK00756,2026-09-11 16:40:00,2026-09-11 16:54:18.022207320,6,0,14.3
ORD-091687,PICK00780,2026-09-13 00:50:00,2026-09-13 01:04:40.281190674,4,0,14.7
ORD-039741,PICK00590,2026-09-29 02:35:00,2026-09-29 02:53:20.793021582,8,1,18.3
ORD-045779,PICK00783,2026-09-05 11:45:00,2026-09-05 11:58:12.871302516,4,0,13.2
ORD-005648,PICK00224,2026-09-28 22:06:00,2026-09-28 22:09:23.909561874,4,0,3.4
ORD-094200,PICK00277,2026-09-21 00:13:00,2026-09-21 00:24:47.340024132,5,0,11.8
ORD-034910,PICK00920,2026-09-03 02:26:00,2026-09-03 02:30:38.054282790,2,0,4.6
ORD-039768,PICK01102,2026-09-09 02:07:00,2026-09-09 02:25:11.723757498,7,0,18.2
ORD-026007,PICK00366,2026-09-07 21:43:00,2026-09-07 22:00:20.935152336,6,1,17.3
ORD-033354,PICK00910,2026-09-22 09:06:00,2026-09-22 09:14:11.454592638,6,0,8.2
ORD-093047,PICK01017,2026-09-26 23:05:00,2026-09-26 23:24:28.242542400,10,0,19.5
ORD-044162,PICK00906,2026-09-23 17:27:00,2026-09-23 17:46:05.218457814,7,0,19.1
ORD-047115,PICK00781,2026-09-26 01:10:00,2026-09-26 01:21:53.880470028,4,0,11.9
ORD-099882,PICK00431,2026-09-23 09:49:00,2026-09-23 10:10:23.714788704,8,0,21.4
ORD-088741,PICK00424,2026-09-28 11:55:00,2026-09-28 12:10:17.613625848,4,0,15.3
ORD-008818,PICK01111,2026-09-01 17:40:00,2026-09-01 17:54:31.086152172,6,0,14.5
ORD-060468,PICK00190,2026-09-02 08:29:00,2026-09-02 08:37:26.213911800,3,0,8.4
ORD-082676,PICK00200,2026-09-21 00:32:00,2026-09-21 00:43:26.074021230,4,0,11.4
ORD-003737,PICK01071,2026-09-21 13:34:00,2026-09-21 13:46:39.112833258,4,0,12.7
ORD-097458,PICK00001,2026-09-23 05:45:00,2026-09-23 05:59:18.646671540,6,0,14.3
ORD-084079,PICK00559,2026-09-04 09:23:00,2026-09-04 09:29:10.997228718,5,0,6.2
ORD-029248,PICK00271,2026-09-09 23:37:00,2026-09-09 23:52:50.313683688,7,0,15.8
ORD-031426,PICK00126,2026-09-13 05:58:00,2026-09-13 06:08:39.948143040,5,0,10.7
ORD-034390,PICK00017,2026-09-01 00:55:00,2026-09-01 01:11:10.555670682,5,0,16.2
ORD-046241,PICK00379,2026-09-28 17:10:00,2026-09-28 17:21:25.014696486,5,1,11.4
ORD-030169,PICK00263,2026-09-28 03:41:00,2026-09-28 03:49:19.244651772,6,0,8.3
ORD-026026,PICK00372,2026-09-25 19:58:00,2026-09-25 20:06:31.976235168,4,0,8.5
ORD-082646,PICK00886,2026-09-13 10:25:00,2026-09-13 10:32:24.481123116,3,0,7.4
ORD-088828,PICK00145,2026-09-02 01:10:00,2026-09-02 01:35:51.581256474,14,0,25.9
ORD-046383,PICK00222,2026-09-17 03:48:00,2026-09-17 04:00:33.064172052,3,0,12.6
ORD-021739,PICK01125,2026-09-26 11:32:00,2026-09-26 11:46:47.691479796,3,1,14.8
ORD-028299,PICK00499,2026-09-04 14:52:00,2026-09-04 15:00:29.868942846,4,0,8.5
ORD-005465,PICK01193,2026-09-10 10:37:00,2026-09-10 11:00:10.956573576,8,0,23.2
ORD-034185,PICK00557,2026-09-13 15:19:00,2026-09-13 15:39:54.246053292,6,0,20.9
ORD-003943,PICK00846,2026-09-25 17:40:00,2026-09-25 17:46:21.404407476,3,0,6.4
ORD-005288,PICK00795,2026-09-30 15:45:00,2026-09-30 15:54:40.264855524,4,0,9.7
ORD-067293,PICK00785,2026-09-18 22:52:00,2026-09-18 23:03:23.173753380,7,0,11.4
ORD-010729,PICK01144,2026-09-11 17:01:00,2026-09-11 17:12:00.209863440,3,0,11.0
ORD-008063,PICK01119,2026-09-24 03:59:00,2026-09-24 04:07:45.245536002,4,0,8.8
ORD-053686,PICK00181,2026-09-20 18:35:00,2026-09-20 18:56:22.592201688,5,1,21.4
ORD-051954,PICK00135,2026-09-16 22:16:00,2026-09-16 22:32:36.856888434,5,0,16.6
ORD-057932,PICK00884,2026-09-30 06:27:00,2026-09-30 06:42:02.038502730,9,0,15.0
ORD-035151,PICK00275,2026-09-17 10:28:00,2026-09-17 10:44:45.760332600,6,0,16.8
ORD-094026,PICK00922,2026-09-14 04:13:00,2026-09-14 04:32:51.607134414,9,0,19.9
ORD-017299,PICK01050,2026-09-09 23:43:00,2026-09-09 23:49:41.441307486,1,0,6.7
ORD-004263,PICK00740,2026-09-01 14:51:00,2026-09-01 15:01:20.808715926,2,0,10.3
ORD-042251,PICK00492,2026-09-07 11:05:00,2026-09-07 11:21:02.929867908,2,0,16.0
ORD-081181,PICK00095,2026-09-02 16:35:00,2026-09-02 16:48:22.318075098,6,0,13.4
ORD-086230,PICK00475,2026-09-26 01:40:00,2026-09-26 02:00:21.531054468,6,1,20.4
ORD-051251,PICK00701,2026-09-17 22:57:00,2026-09-17 23:09:31.406091929,4,0,12.5
ORD-070255,PICK01186,2026-09-09 14:48:00,2026-09-09 14:57:41.595072900,4,1,9.7
ORD-025365,PICK00225,2026-09-05 04:48:00,2026-09-05 04:57:52.003383744,4,0,9.9
ORD-072097,PICK00235,2026-09-14 13:21:00,2026-09-14 13:30:28.381584528,3,0,9.5
ORD-026472,PICK00446,2026-09-13 22:43:00,2026-09-13 22:58:54.130965732,7,0,15.9
ORD-039371,PICK00087,2026-09-13 17:25:00,2026-09-13 17:36:35.947704486,5,1,11.6
ORD-053793,PICK00958,2026-09-28 15:47:00,2026-09-28 15:53:20.390234178,0,1,6.3
ORD-046700,PICK01097,2026-09-21 13:24:00,2026-09-21 13:26:00.000000000,2,0,2.0
ORD-046598,PICK01138,2026-09-19 17:06:00,2026-09-19 17:19:51.066638448,8,0,13.9
ORD-020870,PICK00530,2026-09-13 22:28:00,2026-09-13 22:39:56.666854134,5,0,11.9
ORD-086355,PICK00529,2026-09-25 16:44:00,2026-09-25 17:01:39.590906538,5,0,17.7
ORD-041952,PICK00822,2026-09-26 07:33:00,2026-09-26 07:42:33.809853828,4,0,9.6
ORD-042907,PICK00908,2026-09-09 00:46:00,2026-09-09 00:59:30.206168070,7,1,13.5
ORD-085298,PICK01158,2026-09-05 14:44:00,2026-09-05 14:56:06.909724776,5,0,12.1
ORD-016063,PICK00232,2026-09-29 20:18:00,2026-09-29 20:36:47.250871704,5,0,18.8
ORD-088394,PICK00492,2026-09-22 09:56:00,2026-09-22 10:13:14.937781542,4,0,17.2
ORD-055408,PICK00706,2026-09-02 08:18:00,2026-09-02 08:38:43.881598086,6,0,20.7
ORD-028100,PICK00890,2026-09-18 22:43:00,2026-09-18 23:05:49.602125262,8,0,22.8
ORD-028957,PICK00260,2026-09-05 18:14:00,2026-09-05 18:18:36.376013598,4,0,4.6
ORD-083121,PICK00721,2026-09-02 07:25:00,2026-09-02 07:34:08.897845764,4,0,9.1
ORD-090416,PICK00188,2026-09-14 22:20:00,2026-09-14 22:35:38.555321118,5,0,15.6
ORD-054374,PICK00375,2026-09-18 03:02:00,2026-09-18 03:11:03.269701812,3,1,9.1
ORD-004189,PICK01133,2026-09-20 22:36:00,2026-09-20 22:50:11.601253446,4,0,14.2
ORD-088872,PICK01024,2026-09-21 06:36:00,2026-09-21 06:39:11.438372010,2,0,3.2
ORD-090981,PICK00855,2026-09-26 18:51:00,2026-09-26 19:05:01.740106416,8,0,14.0
ORD-092696,PICK00833,2026-09-14 10:41:00,2026-09-14 10:50:47.597368842,4,0,9.8
ORD-061828,PICK00361,2026-09-28 04:02:00,2026-09-28 04:15:37.300248210,8,0,13.6
ORD-088680,PICK00189,2026-09-16 16:46:00,2026-09-16 16:52:47.895409770,3,0,6.8
ORD-018862,PICK00239,2026-09-22 09:27:00,2026-09-22 09:41:43.811391858,5,0,14.7
ORD-003540,PICK00983,2026-09-29 14:21:00,2026-09-29 14:28:49.453797876,2,0,7.8
ORD-091991,PICK01059,2026-09-30 14:48:00,2026-09-30 15:04:09.126596814,4,0,16.2
ORD-095856,PICK01076,2026-09-27 00:08:00,2026-09-27 00:17:03.724977804,3,0,9.1
ORD-007421,PICK00069,2026-09-01 11:34:00,2026-09-01 11:53:04.970364486,4,0,19.1
ORD-074816,PICK00339,2026-09-10 03:38:00,2026-09-10 03:47:01.458243414,3,1,9.0
ORD-033023,PICK00940,2026-09-23 09:27:00,2026-09-23 09:37:59.758364538,4,0,11.0
ORD-059388,PICK00079,2026-09-17 04:41:00,2026-09-17 04:57:09.458981004,5,0,16.2
ORD-074517,PICK00536,2026-09-06 06:55:00,2026-09-06 07:03:00.652999602,2,0,8.0
ORD-027168,PICK00784,2026-09-23 17:51:00,2026-09-23 18:08:18.189660090,5,0,17.3
ORD-069223,PICK00854,2026-09-20 19:15:00,2026-09-20 19:34:44.705899608,6,0,19.7
ORD-093498,PICK01058,2026-09-03 00:45:00,2026-09-03 00:51:50.898117948,4,0,6.8
ORD-035316,PICK00346,2026-09-25 21:34:00,2026-09-25 21:47:21.511147374,6,0,13.4
ORD-028529,PICK00288,2026-09-30 16:23:00,2026-09-30 16:37:57.221927808,6,0,15.0
ORD-031933,PICK01066,2026-09-02 00:47:00,2026-09-02 00:56:46.595096160,5,0,9.8
ORD-080060,PICK01017,2026-09-18 01:59:00,2026-09-18 02:11:02.317382838,5,0,12.0
ORD-049477,PICK01055,2026-09-21 08:56:00,2026-09-21 09:06:54.756226986,4,0,10.9
ORD-032223,PICK01060,2026-09-20 12:02:00,2026-09-20 12:21:25.277144172,6,0,19.4
ORD-011719,PICK00018,2026-09-03 20:52:00,2026-09-03 20:57:24.082608816,2,0,5.4
ORD-072611,PICK01097,2026-09-20 02:02:00,2026-09-20 02:16:46.482305184,6,0,14.8
ORD-009758,PICK00772,2026-09-18 18:16:00,2026-09-18 18:22:00.972594245,3,0,6.0
ORD-037396,PICK00634,2026-09-27 22:39:00,2026-09-27 22:49:29.029839048,4,1,10.5
ORD-094614,PICK00936,2026-09-24 01:50:00,2026-09-24 02:03:07.617149454,6,0,13.1
ORD-046520,PICK00261,2026-09-28 02:42:00,2026-09-28 02:54:23.033680794,4,0,12.4
ORD-035540,PICK00607,2026-09-11 11:50:00,2026-09-11 12:02:39.491891106,3,0,12.7
ORD-008230,PICK00854,2026-09-21 13:51:00,2026-09-21 14:03:55.494031848,4,0,12.9
ORD-033386,PICK00288,2026-09-10 00:03:00,2026-09-10 00:20:17.545729068,8,0,17.3
ORD-072343,PICK00983,2026-09-27 02:20:00,2026-09-27 02:22:25.786707588,3,0,2.4
ORD-028689,PICK00017,2026-09-27 02:53:00,2026-09-27 03:08:39.416294538,5,0,15.7
ORD-072622,PICK01034,2026-09-12 17:03:00,2026-09-12 17:22:53.514711396,6,1,19.9
ORD-000092,PICK00822,2026-09-06 09:11:00,2026-09-06 09:20:53.070454110,4,0,9.9
ORD-013693,PICK01136,2026-09-27 00:32:00,2026-09-27 00:54:05.045057376,6,0,22.1
ORD-048418,PICK00671,2026-09-28 03:04:00,2026-09-28 03:08:16.752681180,3,0,4.3
ORD-048420,PICK00660,2026-09-04 12:59:00,2026-09-04 13:17:24.598454850,3,1,18.4
ORD-042778,PICK00638,2026-09-02 16:50:00,2026-09-02 16:57:56.059015596,3,0,7.9
ORD-024066,PICK00623,2026-09-28 21:55:00,2026-09-28 21:59:58.736162928,3,0,5.0
ORD-077185,PICK00854,2026-09-29 20:37:00,2026-09-29 20:49:33.332968164,3,1,12.6
ORD-035694,PICK00637,2026-09-20 03:19:00,2026-09-20 03:34:15.691446395,5,0,15.3
ORD-072842,PICK00239,2026-09-19 03:35:00,2026-09-19 03:50:45.459416598,4,0,15.8
ORD-073547,PICK00297,2026-09-28 04:19:00,2026-09-28 04:33:05.762693826,5,0,14.1
ORD-042609,PICK00465,2026-09-28 21:37:00,2026-09-28 21:55:03.220962774,5,0,18.1
ORD-028788,PICK00946,2026-09-27 09:39:00,2026-09-27 09:56:44.306285268,5,0,17.7
ORD-092074,PICK00652,2026-09-26 23:19:00,2026-09-26 23:33:56.821344480,4,1,14.9
ORD-016854,PICK01187,2026-09-01 16:17:00,2026-09-01 16:31:24.279539886,7,0,14.4
ORD-033596,PICK00506,2026-09-12 11:12:00,2026-09-12 11:32:57.969618930,7,0,21.0
ORD-046848,PICK00445,2026-09-21 03:01:00,2026-09-21 03:13:54.303911742,1,2,12.9
ORD-026362,PICK00098,2026-09-08 19:29:00,2026-09-08 19:38:17.764055334,3,0,9.3
ORD-041491,PICK01159,2026-09-06 21:52:00,2026-09-06 22:02:33.733546290,6,0,10.6
ORD-032079,PICK00606,2026-09-14 11:45:00,2026-09-14 11:57:18.536587314,3,0,12.3
ORD-019959,PICK00470,2026-09-09 12:20:00,2026-09-09 12:35:04.848600072,4,0,15.1
ORD-062348,PICK00317,2026-09-01 09:11:00,2026-09-01 09:23:32.459088372,5,0,12.5
ORD-080379,PICK00392,2026-09-03 09:46:00,2026-09-03 10:01:05.137373292,6,0,15.1
ORD-050345,PICK00672,2026-09-24 06:36:00,2026-09-24 06:42:24.774998196,1,1,6.4
ORD-028190,PICK00780,2026-09-10 20:46:00,2026-09-10 20:59:59.153450202,4,0,14.0
ORD-080255,PICK00147,2026-09-21 03:57:00,2026-09-21 04:11:05.607911142,5,1,14.1
ORD-013871,PICK00850,2026-09-22 22:20:00,2026-09-22 22:34:24.294251916,6,0,14.4
ORD-079680,PICK00012,2026-09-20 10:26:00,2026-09-20 10:45:55.481842830,8,0,19.9
ORD-065485,PICK00056,2026-09-03 09:47:00,2026-09-03 09:54:45.722703000,2,0,7.8
ORD-069824,PICK00372,2026-09-20 19:35:00,2026-09-20 19:49:58.446383340,4,0,15.0
ORD-050842,PICK00675,2026-09-24 15:51:00,2026-09-24 16:00:26.707595976,3,0,9.4
ORD-010062,PICK01130,2026-09-20 17:47:00,2026-09-20 18:01:25.813884558,7,0,14.4
ORD-013357,PICK00559,2026-09-22 19:06:00,2026-09-22 19:16:20.008422096,4,0,10.3
ORD-084691,PICK01143,2026-09-18 09:19:00,2026-09-18 09:31:30.702815028,5,0,12.5
ORD-033341,PICK00088,2026-09-19 07:31:00,2026-09-19 07:47:33.872699622,5,0,16.6
ORD-062532,PICK00394,2026-09-25 20:52:00,2026-09-25 21:05:30.712768817,5,0,13.5
ORD-025597,PICK00599,2026-09-07 11:26:00,2026-09-07 11:32:25.234894794,3,0,6.4
ORD-029338,PICK00274,2026-09-16 15:13:00,2026-09-16 15:29:42.962377800,6,0,16.7
ORD-025360,PICK00882,2026-09-05 01:03:00,2026-09-05 01:15:29.745698268,5,0,12.5
ORD-012591,PICK00290,2026-09-01 13:13:00,2026-09-01 13:22:38.901401754,5,0,9.6
ORD-044960,PICK00313,2026-09-06 23:38:00,2026-09-06 23:55:45.382373256,4,1,17.8
ORD-048308,PICK01147,2026-09-01 19:57:00,2026-09-01 20:10:41.344854228,3,0,13.7
ORD-046519,PICK00547,2026-09-11 02:53:00,2026-09-11 03:07:00.434498442,5,0,14.0
ORD-096056,PICK00111,2026-09-21 01:19:00,2026-09-21 01:32:14.894465832,6,0,13.2
ORD-021619,PICK00325,2026-09-11 21:40:00,2026-09-11 21:58:17.794016580,4,0,18.3
ORD-014455,PICK00774,2026-09-29 18:38:00,2026-09-29 18:54:26.294203458,2,0,16.4
ORD-020911,PICK01156,2026-09-21 00:14:00,2026-09-21 00:31:41.453081640,7,0,17.7
ORD-083940,PICK00309,2026-09-22 13:46:00,2026-09-22 13:58:56.481922638,7,0,12.9
ORD-045999,PICK00437,2026-09-22 06:38:00,2026-09-22 06:48:32.777877185,5,0,10.5
ORD-071650,PICK00919,2026-09-26 13:01:00,2026-09-26 13:06:44.612243298,4,0,5.7
ORD-093320,PICK00165,2026-09-12 12:51:00,2026-09-12 13:11:59.216323548,6,0,21.0
ORD-045249,PICK00095,2026-09-27 22:50:00,2026-09-27 23:02:34.998825528,5,1,12.6
ORD-002898,PICK00048,2026-09-25 08:41:00,2026-09-25 08:57:57.064768956,5,0,17.0
ORD-082409,PICK00871,2026-09-23 02:41:00,2026-09-23 02:58:04.387340910,7,0,17.1
ORD-015381,PICK00971,2026-09-28 17:33:00,2026-09-28 17:45:24.643194126,3,0,12.4
ORD-013915,PICK00121,2026-09-30 10:18:00,2026-09-30 10:32:00.177255750,9,0,14.0
ORD-002573,PICK00502,2026-09-25 13:10:00,2026-09-25 13:22:22.494180888,4,0,12.4
ORD-031375,PICK00670,2026-09-05 08:57:00,2026-09-05 09:03:03.107800092,3,0,6.1
ORD-085107,PICK01126,2026-09-10 16:01:00,2026-09-10 16:12:20.909692830,5,0,11.3
ORD-027560,PICK00670,2026-09-18 15:17:00,2026-09-18 15:30:17.874017076,7,0,13.3
ORD-075045,PICK00315,2026-09-15 11:10:00,2026-09-15 11:26:15.361114421,6,0,16.3
ORD-070914,PICK00223,2026-09-24 19:58:00,2026-09-24 20:05:10.175532360,3,0,7.2
ORD-098500,PICK00646,2026-09-19 09:04:00,2026-09-19 09:18:44.394672288,6,0,14.7
