employee_id,role,store_id,shift,tasks_completed,tasks_pending
EMP00832,Picker,ST017,Morning,57,4
EMP01110,Picker,ST091,Night,55,5
EMP00527,Picker,ST062,Morning,41,5
EMP01347,Packer,ST052,Afternoon,57,7
EMP00461,Packer,ST071,Evening,55,5
EMP01464,Picker,ST032,Night,40,1
EMP02355,Packer,ST016,Afternoon,48,6
EMP01216,Store Associate,ST075,Night,45,7
EMP00676,Picker,ST088,Evening,39,7
EMP00196,Rider Coordinator,ST001,Afternoon,58,6
EMP01297,Packer,ST097,Afternoon,48,8
EMP00925,Packer,ST067,Evening,50,5
EMP01411,Packer,ST012,Morning,45,6
EMP00094,Store Associate,ST071,Afternoon,47,9
EMP01489,Picker,ST009,Morning,50,9
EMP00735,Picker,ST022,Evening,53,6
EMP01913,Packer,ST022,Evening,63,6
EMP02018,Picker,ST098,Evening,48,5
EMP01409,Picker,ST008,Morning,53,7
EMP01404,Store Associate,ST094,Afternoon,41,4
EMP02365,Store Associate,ST031,Afternoon,40,4
EMP02471,Picker,ST026,Evening,44,7
EMP01619,Supervisor,ST042,Evening,46,4
EMP01876,Packer,ST082,Evening,54,7
EMP02387,Store Associate,ST034,Evening,39,11
EMP00176,Store Associate,ST005,Evening,56,5
EMP02229,Store Associate,ST092,Afternoon,48,7
EMP01998,Store Associate,ST008,Morning,46,7
EMP02180,Packer,ST024,Afternoon,51,6
EMP00515,Supervisor,ST023,Morning,50,6
EMP01385,Picker,ST078,Afternoon,67,8
EMP01018,Packer,ST030,Afternoon,38,3
EMP01135,Picker,ST067,Evening,55,6
EMP00427,Store Associate,ST051,Afternoon,42,4
EMP00133,Picker,ST026,Afternoon,50,11
EMP02360,Packer,ST095,Evening,38,3
EMP01657,Packer,ST052,Evening,49,8
EMP00155,Packer,ST094,Afternoon,49,5
EMP01753,Store Associate,ST039,Evening,41,5
EMP00815,Packer,ST049,Afternoon,53,4
EMP01977,Picker,ST065,Afternoon,59,4
EMP00435,Rider Coordinator,ST049,Afternoon,50,5
EMP00773,Picker,ST052,Afternoon,34,8
EMP00174,Picker,ST082,Night,38,5
EMP01534,Store Associate,ST005,Afternoon,58,9
EMP00425,Store Associate,ST059,Evening,49,5
EMP01700,Picker,ST077,Evening,48,5
EMP01814,Rider Coordinator,ST025,Evening,45,5
EMP00536,Store Associate,ST055,Evening,61,5
EMP02321,Packer,ST070,Evening,37,5
EMP01483,Picker,ST082,Afternoon,51,7
EMP00156,Picker,ST023,Evening,49,4
EMP00176,Packer,ST005,Evening,53,4
EMP00746,Packer,ST008,Afternoon,47,5
EMP00230,Packer,ST023,Evening,49,3
EMP00277,Picker,ST050,Morning,62,3
EMP01996,Store Associate,ST097,Evening,54,3
EMP01120,Supervisor,ST016,Morning,56,9
EMP00871,Store Associate,ST008,Night,49,5
EMP00896,Supervisor,ST095,Evening,49,7
EMP01369,Packer,ST017,Evening,35,5
EMP00443,Packer,ST042,Evening,50,6
EMP02157,Store Associate,ST052,Afternoon,54,7
EMP00265,Supervisor,ST037,Evening,49,5
EMP01442,Picker,ST063,Afternoon,42,3
EMP01900,Picker,ST053,Morning,57,7
EMP01688,Packer,ST024,Afternoon,49,6
EMP01722,Rider Coordinator,ST068,Afternoon,49,7
EMP00605,Picker,ST051,Evening,68,7
EMP02389,Rider Coordinator,ST042,Night,52,4
EMP00747,Rider Coordinator,ST006,Afternoon,45,4
EMP02356,Rider Coordinator,ST022,Afternoon,47,8
EMP00760,Store Associate,ST014,Evening,58,7
EMP01407,Picker,ST062,Night,41,5
EMP02260,Store Associate,ST005,Evening,49,6
EMP01450,Packer,ST042,Evening,50,5
EMP00992,Store Associate,ST073,Night,51,6
EMP01598,Rider Coordinator,ST060,Evening,38,6
EMP01028,Store Associate,ST089,Afternoon,43,6
EMP00857,Rider Coordinator,ST083,Evening,49,5
EMP02416,Packer,ST100,Evening,43,5
EMP01211,Packer,ST075,Evening,50,7
EMP01942,Store Associate,ST071,Evening,41,4
EMP01835,Store Associate,ST028,Afternoon,59,4
EMP00776,Store Associate,ST089,Afternoon,42,7
EMP00551,Rider Coordinator,ST075,Night,39,8
EMP01137,Packer,ST068,Morning,58,4
EMP00944,Supervisor,ST088,Afternoon,34,3
EMP01466,Rider Coordinator,ST096,Afternoon,49,8
EMP00723,Picker,ST026,Evening,59,7
EMP01406,Packer,ST090,Morning,51,1
EMP00219,Picker,ST015,Evening,41,7
EMP00177,Packer,ST049,Evening,38,7
EMP00862,Packer,ST036,Morning,42,8
EMP01765,Packer,ST100,Evening,42,5
EMP00820,Picker,ST096,Afternoon,49,7
EMP00505,Store Associate,ST083,Evening,43,5
EMP01909,Store Associate,ST002,Night,63,7
EMP00632,Picker,ST072,Evening,42,2
EMP01608,Packer,ST054,Evening,51,6
EMP00372,Store Associate,ST077,Morning,41,5
EMP01946,Store Associate,ST010,Night,59,4
EMP02114,Rider Coordinator,ST051,Evening,47,8
EMP01453,Rider Coordinator,ST037,Morning,44,8
EMP00946,Store Associate,ST026,Evening,51,6
EMP00880,Store Associate,ST033,Night,46,4
EMP00739,Rider Coordinator,ST047,Evening,40,7
EMP01917,Rider Coordinator,ST093,Evening,52,8
EMP00723,Store Associate,ST035,Evening,43,5
EMP02036,Picker,ST062,Afternoon,36,4
EMP01259,Rider Coordinator,ST021,Afternoon,52,8
EMP00521,Picker,ST026,Evening,33,7
EMP01983,Packer,ST009,Evening,59,6
EMP01296,Store Associate,ST076,Evening,48,7
EMP02000,Store Associate,ST057,Evening,41,8
EMP01139,Packer,ST060,Evening,54,4
EMP00822,Packer,ST078,Afternoon,51,8
EMP01287,Store Associate,ST088,Morning,54,5
EMP01133,Store Associate,ST071,Afternoon,53,1
EMP01497,Picker,ST063,Morning,49,7
EMP01256,Packer,ST018,Evening,48,4
EMP00746,Store Associate,ST047,Afternoon,46,11
EMP00039,Store Associate,ST086,Night,45,8
EMP02196,Store Associate,ST091,Evening,51,2
EMP00014,Rider Coordinator,ST027,Afternoon,47,8
EMP00536,Store Associate,ST034,Afternoon,46,10
EMP00177,Store Associate,ST019,Night,46,6
EMP01294,Packer,ST042,Afternoon,51,6
EMP01303,Store Associate,ST039,Evening,53,4
EMP00184,Store Associate,ST033,Evening,51,6
EMP01007,Supervisor,ST098,Evening,49,5
EMP01537,Store Associate,ST099,Night,54,5
EMP00744,Store Associate,ST078,Afternoon,45,5
EMP01304,Picker,ST054,Evening,49,8
EMP01204,Packer,ST066,Evening,60,6
EMP01424,Picker,ST028,Evening,45,4
EMP00354,Picker,ST020,Night,44,3
EMP02482,Packer,ST030,Evening,38,6
EMP00260,Picker,ST070,Afternoon,51,7
EMP00308,Packer,ST069,Night,41,2
EMP00647,Picker,ST024,Evening,45,3
EMP00682,Supervisor,ST080,Afternoon,41,7
EMP01032,Picker,ST012,Afternoon,43,10
EMP02234,Picker,ST075,Night,49,8
EMP00379,Rider Coordinator,ST068,Evening,45,4
EMP00645,Rider Coordinator,ST090,Evening,59,5
EMP01707,Picker,ST073,Evening,54,4
EMP00343,Packer,ST098,Afternoon,53,8
EMP00621,Picker,ST100,Evening,37,8
EMP01635,Picker,ST099,Evening,52,6
EMP01240,Picker,ST062,Night,45,5
EMP00389,Packer,ST053,Evening,52,4
EMP01069,Picker,ST089,Evening,46,7
EMP01087,Picker,ST047,Evening,54,7
EMP00916,Store Associate,ST054,Evening,49,9
EMP00893,Store Associate,ST049,Afternoon,36,10
EMP01664,Picker,ST038,Morning,43,4
EMP01334,Picker,ST008,Afternoon,52,4
EMP01883,Store Associate,ST085,Evening,36,5
EMP00156,Packer,ST098,Evening,49,7
EMP01283,Picker,ST045,Night,40,5
EMP00506,Packer,ST081,Morning,49,6
EMP00671,Picker,ST064,Evening,58,7
EMP01737,Store Associate,ST030,Evening,47,3
EMP00628,Store Associate,ST027,Afternoon,56,8
EMP02342,Supervisor,ST059,Afternoon,37,13
EMP02097,Picker,ST054,Afternoon,31,15
EMP01872,Packer,ST009,Evening,44,6
EMP01702,Picker,ST026,Evening,62,1
EMP00341,Packer,ST080,Night,39,4
EMP00510,Picker,ST009,Afternoon,64,5
EMP02429,Picker,ST040,Morning,46,5
EMP01145,Packer,ST071,Morning,52,7
EMP01876,Store Associate,ST020,Morning,50,7
EMP02249,Picker,ST095,Morning,45,4
EMP02008,Picker,ST066,Evening,32,4
EMP02228,Supervisor,ST032,Afternoon,47,7
EMP00708,Packer,ST065,Night,47,11
EMP00280,Packer,ST069,Evening,54,6
EMP01380,Picker,ST056,Morning,50,7
EMP00825,Picker,ST056,Evening,40,5
EMP01483,Store Associate,ST018,Morning,46,5
EMP00131,Store Associate,ST039,Night,32,4
EMP00098,Store Associate,ST006,Night,53,6
EMP01753,Packer,ST021,Evening,69,10
EMP00903,Store Associate,ST070,Morning,48,8
EMP00562,Picker,ST040,Afternoon,38,10
EMP01893,Store Associate,ST045,Evening,57,6
EMP01809,Rider Coordinator,ST025,Morning,52,7
EMP01644,Picker,ST075,Morning,45,7
EMP00902,Picker,ST072,Morning,61,8
EMP01425,Picker,ST004,Morning,53,6
EMP00886,Picker,ST039,Evening,41,6
EMP00304,Supervisor,ST029,Afternoon,43,9
EMP02092,Store Associate,ST094,Afternoon,63,8
EMP00267,Store Associate,ST098,Evening,47,7
EMP00615,Packer,ST032,Afternoon,51,7
EMP00727,Picker,ST063,Afternoon,55,6
EMP00367,Packer,ST010,Evening,49,9
EMP01367,Store Associate,ST016,Afternoon,43,2
EMP00910,Picker,ST011,Morning,54,3
EMP00740,Picker,ST097,Afternoon,48,2
EMP01218,Picker,ST098,Morning,51,5
EMP00254,Store Associate,ST053,Morning,47,3
EMP01520,Packer,ST046,Afternoon,46,4
EMP01736,Store Associate,ST077,Afternoon,47,4
EMP00317,Packer,ST080,Afternoon,51,10
EMP00994,Picker,ST080,Evening,47,4
EMP00874,Supervisor,ST037,Evening,45,2
EMP00583,Rider Coordinator,ST096,Afternoon,55,4
EMP01581,Picker,ST036,Evening,46,4
EMP00113,Picker,ST014,Morning,43,5
EMP01702,Store Associate,ST007,Evening,41,3
EMP01987,Packer,ST036,Afternoon,45,3
EMP01493,Supervisor,ST017,Afternoon,44,6
EMP01189,Store Associate,ST058,Morning,42,4
EMP00300,Packer,ST100,Morning,54,7
EMP00052,Picker,ST030,Afternoon,69,9
EMP00183,Picker,ST084,Morning,53,6
EMP01309,Rider Coordinator,ST065,Morning,48,6
EMP01744,Store Associate,ST027,Evening,40,9
EMP02230,Picker,ST023,Afternoon,41,9
EMP00261,Store Associate,ST032,Afternoon,62,7
EMP01871,Supervisor,ST043,Afternoon,49,6
EMP02417,Supervisor,ST087,Morning,49,3
EMP00812,Store Associate,ST021,Morning,51,9
EMP02294,Store Associate,ST059,Evening,38,7
EMP00101,Store Associate,ST008,Evening,46,2
EMP01686,Picker,ST002,Afternoon,57,6
EMP00450,Picker,ST068,Evening,33,6
EMP01318,Packer,ST088,Morning,50,5
EMP01846,Packer,ST084,Night,46,6
EMP01208,Packer,ST091,Night,41,4
EMP00194,Store Associate,ST024,Evening,43,9
EMP01304,Store Associate,ST064,Afternoon,55,6
EMP01034,Packer,ST027,Afternoon,51,5
EMP02360,Packer,ST061,Evening,46,9
EMP00652,Picker,ST014,Evening,49,3
EMP01696,Supervisor,ST044,Evening,47,3
EMP00524,Picker,ST096,Afternoon,38,3
EMP01860,Rider Coordinator,ST055,Evening,37,6
EMP01176,Picker,ST090,Afternoon,52,10
EMP00160,Store Associate,ST060,Afternoon,38,6
EMP01621,Packer,ST078,Afternoon,47,4
EMP01271,Supervisor,ST002,Afternoon,49,4
EMP02226,Store Associate,ST058,Afternoon,52,8
EMP00341,Picker,ST054,Evening,51,5
EMP01810,Picker,ST044,Morning,59,5
EMP00259,Packer,ST098,Evening,52,4
EMP01417,Picker,ST017,Afternoon,50,4
EMP02195,Picker,ST029,Evening,45,6
EMP02060,Supervisor,ST007,Afternoon,46,5
EMP00119,Packer,ST051,Afternoon,56,9
EMP02453,Store Associate,ST030,Morning,52,8
EMP00356,Packer,ST084,Evening,37,5
EMP02208,Store Associate,ST058,Afternoon,48,5
EMP01706,Supervisor,ST061,Night,43,7
EMP00161,Picker,ST058,Morning,41,8
EMP01823,Packer,ST020,Afternoon,56,7
EMP01363,Picker,ST049,Night,48,9
EMP00665,Rider Coordinator,ST014,Evening,40,7
EMP02387,Store Associate,ST016,Afternoon,62,8
EMP01781,Rider Coordinator,ST033,Evening,49,8
EMP01340,Packer,ST042,Night,41,9
EMP01528,Packer,ST012,Evening,45,9
EMP00174,Packer,ST057,Afternoon,53,4
EMP00974,Packer,ST048,Morning,38,5
EMP00179,Store Associate,ST100,Evening,62,8
EMP01352,Store Associate,ST032,Evening,64,5
EMP02250,Store Associate,ST006,Morning,53,2
EMP00310,Supervisor,ST091,Evening,43,9
EMP01571,Picker,ST057,Evening,44,8
EMP01771,Store Associate,ST015,Evening,40,4
EMP01848,Supervisor,ST024,Evening,63,8
EMP00191,Packer,ST091,Evening,58,6
EMP00524,Picker,ST059,Evening,45,7
EMP00669,Picker,ST098,Evening,48,4
EMP00046,Store Associate,ST023,Evening,37,3
EMP00391,Store Associate,ST010,Evening,64,5
EMP00080,Supervisor,ST060,Evening,56,3
EMP00434,Picker,ST010,Afternoon,52,3
EMP00450,Picker,ST067,Morning,47,2
EMP01010,Store Associate,ST073,Morning,38,8
EMP01249,Picker,ST089,Evening,47,8
EMP02234,Picker,ST005,Afternoon,46,8
EMP00233,Supervisor,ST015,Morning,63,6
EMP00642,Store Associate,ST078,Evening,51,4
EMP00320,Picker,ST076,Morning,39,4
EMP00687,Packer,ST080,Morning,52,9
EMP01057,Picker,ST069,Morning,41,8
EMP00595,Packer,ST054,Morning,35,6
EMP01322,Packer,ST074,Afternoon,47,1
EMP00122,Picker,ST067,Afternoon,51,7
EMP02450,Packer,ST038,Morning,44,7
EMP01660,Store Associate,ST083,Afternoon,46,3
EMP01449,Store Associate,ST002,Evening,39,4
EMP00314,Supervisor,ST084,Morning,40,3
EMP00956,Picker,ST034,Evening,42,8
EMP02045,Picker,ST076,Evening,43,5
EMP02425,Picker,ST091,Morning,43,7
EMP01510,Packer,ST025,Afternoon,37,10
EMP01705,Store Associate,ST001,Night,49,4
EMP00029,Picker,ST082,Evening,63,7
EMP00513,Supervisor,ST018,Morning,47,2
EMP00785,Store Associate,ST070,Afternoon,54,5
EMP02391,Picker,ST024,Afternoon,39,6
EMP01901,Packer,ST064,Morning,41,8
EMP02144,Packer,ST011,Evening,32,11
EMP00222,Supervisor,ST074,Evening,39,2
EMP01717,Store Associate,ST031,Evening,58,11
EMP00269,Store Associate,ST091,Evening,45,4
EMP01756,Packer,ST056,Morning,50,5
EMP00126,Picker,ST061,Evening,45,5
EMP00183,Packer,ST043,Evening,60,12
EMP00705,Picker,ST034,Morning,53,11
EMP00133,Packer,ST050,Afternoon,55,4
EMP01063,Picker,ST041,Afternoon,65,4
EMP01752,Picker,ST019,Afternoon,42,8
EMP01299,Picker,ST060,Evening,38,7
EMP02268,Picker,ST001,Afternoon,41,4
EMP01389,Supervisor,ST029,Evening,71,8
EMP00086,Picker,ST073,Afternoon,49,5
EMP02391,Rider Coordinator,ST025,Evening,44,2
EMP00274,Store Associate,ST044,Night,43,12
EMP00282,Packer,ST077,Afternoon,37,9
EMP00894,Rider Coordinator,ST095,Evening,52,4
EMP02117,Packer,ST055,Evening,52,4
EMP01348,Picker,ST086,Afternoon,47,2
EMP01134,Rider Coordinator,ST016,Afternoon,60,8
EMP00519,Packer,ST024,Morning,45,3
EMP02458,Supervisor,ST090,Morning,48,4
EMP02298,Store Associate,ST056,Evening,33,10
EMP01916,Picker,ST002,Afternoon,55,4
EMP00151,Packer,ST015,Evening,47,6
EMP01230,Supervisor,ST085,Evening,47,9
EMP01668,Picker,ST084,Afternoon,45,5
EMP01901,Picker,ST051,Night,45,5
EMP01565,Store Associate,ST023,Night,48,7
EMP00001,Store Associate,ST057,Afternoon,52,2
EMP01453,Rider Coordinator,ST076,Afternoon,41,6
EMP02138,Picker,ST047,Afternoon,48,3
EMP01799,Picker,ST062,Afternoon,56,5
EMP00795,Store Associate,ST029,Afternoon,41,4
EMP02085,Picker,ST051,Evening,53,8
EMP00937,Picker,ST010,Afternoon,55,6
EMP02356,Picker,ST038,Night,58,4
EMP00083,Store Associate,ST068,Morning,45,10
EMP02258,Picker,ST037,Afternoon,41,8
EMP01889,Store Associate,ST060,Morning,45,7
EMP00303,Packer,ST034,Afternoon,52,2
EMP02012,Store Associate,ST010,Afternoon,55,7
EMP01794,Packer,ST014,Afternoon,62,9
EMP01889,Picker,ST036,Morning,46,10
EMP00457,Packer,ST041,Night,47,6
EMP01158,Packer,ST007,Morning,40,11
EMP01049,Packer,ST075,Evening,46,8
EMP01073,Picker,ST033,Afternoon,54,7
EMP00970,Packer,ST045,Evening,49,4
EMP00767,Picker,ST072,Evening,43,6
EMP00015,Store Associate,ST073,Morning,42,6
EMP00708,Packer,ST037,Afternoon,54,5
EMP01130,Picker,ST032,Morning,49,5
EMP02120,Supervisor,ST073,Night,49,3
EMP02498,Store Associate,ST072,Afternoon,51,10
EMP02145,Supervisor,ST008,Afternoon,53,4
EMP01841,Picker,ST005,Evening,64,7
EMP02387,Store Associate,ST017,Afternoon,59,3
EMP01635,Store Associate,ST091,Afternoon,47,3
EMP00828,Store Associate,ST100,Evening,39,7
EMP01316,Rider Coordinator,ST077,Afternoon,47,5
EMP01538,Picker,ST019,Night,38,5
EMP02273,Store Associate,ST014,Night,51,3
EMP00610,Store Associate,ST088,Morning,34,6
EMP00852,Rider Coordinator,ST023,Afternoon,40,9
EMP00949,Store Associate,ST087,Evening,57,6
EMP01390,Rider Coordinator,ST068,Morning,48,6
EMP01719,Packer,ST046,Evening,54,2
EMP00794,Supervisor,ST024,Morning,39,6
EMP02367,Picker,ST066,Evening,57,7
EMP01803,Packer,ST053,Afternoon,48,3
EMP00404,Picker,ST047,Evening,49,6
EMP00245,Store Associate,ST096,Afternoon,54,7
EMP00316,Supervisor,ST082,Night,45,8
EMP02230,Picker,ST018,Evening,48,6
EMP02349,Picker,ST064,Morning,44,6
EMP00916,Supervisor,ST012,Evening,53,5
EMP00885,Supervisor,ST058,Evening,49,5
EMP01298,Picker,ST041,Night,49,3
EMP00299,Picker,ST035,Morning,41,6
EMP01200,Packer,ST013,Afternoon,47,3
EMP01434,Supervisor,ST040,Morning,49,2
EMP01250,Picker,ST002,Evening,39,1
EMP01205,Rider Coordinator,ST008,Evening,51,5
EMP00194,Packer,ST060,Morning,42,5
EMP01911,Packer,ST028,Afternoon,53,7
EMP01776,Store Associate,ST051,Morning,42,8
EMP02306,Supervisor,ST040,Afternoon,45,4
EMP01381,Picker,ST007,Evening,39,5
EMP02418,Packer,ST084,Evening,49,4
EMP02374,Store Associate,ST025,Morning,49,6
EMP02078,Rider Coordinator,ST028,Afternoon,60,8
EMP00916,Picker,ST009,Evening,50,8
EMP00552,Store Associate,ST045,Evening,41,6
EMP02437,Packer,ST015,Afternoon,47,5
EMP00111,Store Associate,ST015,Afternoon,58,9
EMP02444,Packer,ST042,Evening,54,6
EMP01900,Packer,ST097,Evening,42,4
EMP00006,Rider Coordinator,ST067,Morning,46,8
EMP00061,Picker,ST001,Evening,49,9
EMP01403,Picker,ST007,Afternoon,44,8
EMP00574,Packer,ST054,Morning,36,8
EMP02031,Packer,ST035,Evening,61,5
EMP00833,Store Associate,ST009,Evening,53,9
EMP01309,Picker,ST087,Evening,46,6
EMP02148,Packer,ST008,Morning,54,4
EMP00512,Store Associate,ST095,Evening,38,7
EMP00329,Packer,ST015,Afternoon,42,6
EMP00332,Picker,ST014,Evening,46,6
EMP01473,Picker,ST100,Evening,58,7
EMP01138,Packer,ST011,Morning,43,7
EMP00057,Store Associate,ST007,Evening,48,8
EMP00032,Picker,ST092,Evening,57,17
EMP00050,Packer,ST063,Morning,43,9
EMP00531,Picker,ST054,Night,46,3
EMP02252,Supervisor,ST025,Evening,49,9
EMP01105,Picker,ST061,Morning,39,7
EMP01426,Packer,ST047,Evening,52,4
EMP01077,Picker,ST054,Afternoon,55,4
EMP01089,Packer,ST044,Night,53,4
EMP01190,Picker,ST084,Evening,41,8
EMP01738,Store Associate,ST085,Afternoon,40,6
EMP00642,Picker,ST046,Afternoon,42,10
EMP00444,Store Associate,ST029,Evening,43,4
EMP02127,Packer,ST044,Night,51,3
EMP02203,Packer,ST006,Evening,45,7
EMP01768,Picker,ST082,Night,57,2
EMP01616,Packer,ST083,Evening,44,5
EMP01918,Packer,ST065,Afternoon,41,5
EMP00500,Store Associate,ST027,Evening,44,7
EMP00870,Packer,ST006,Morning,41,6
EMP00935,Rider Coordinator,ST099,Afternoon,42,5
EMP00911,Packer,ST065,Afternoon,50,6
EMP01618,Picker,ST009,Afternoon,42,5
EMP01711,Picker,ST094,Evening,48,8
EMP02249,Rider Coordinator,ST003,Afternoon,45,6
EMP02326,Packer,ST003,Evening,45,5
EMP00339,Supervisor,ST052,Afternoon,40,5
EMP00496,Store Associate,ST083,Afternoon,50,7
EMP00129,Packer,ST022,Evening,52,7
EMP00894,Store Associate,ST030,Morning,49,5
EMP02229,Store Associate,ST089,Night,41,8
EMP00792,Packer,ST048,Night,43,8
EMP01570,Store Associate,ST048,Afternoon,44,3
EMP01287,Picker,ST057,Morning,46,7
EMP01225,Supervisor,ST015,Evening,58,6
EMP00513,Store Associate,ST087,Evening,63,8
EMP01743,Picker,ST039,Morning,40,4
EMP01542,Packer,ST003,Evening,42,4
EMP02472,Picker,ST094,Night,52,3
EMP01669,Supervisor,ST031,Evening,53,12
EMP01841,Store Associate,ST070,Evening,50,1
EMP00955,Store Associate,ST046,Evening,53,10
EMP01581,Supervisor,ST070,Evening,58,5
EMP01533,Picker,ST009,Afternoon,42,5
EMP00892,Store Associate,ST075,Afternoon,49,5
EMP01560,Picker,ST013,Evening,49,5
EMP01862,Picker,ST092,Morning,48,3
EMP00308,Picker,ST066,Afternoon,49,7
EMP01529,Picker,ST029,Evening,43,8
EMP02199,Picker,ST071,Afternoon,44,9
EMP00362,Packer,ST004,Evening,43,7
EMP00569,Picker,ST076,Evening,50,4
EMP00532,Picker,ST073,Morning,50,7
EMP02284,Packer,ST084,Evening,62,3
EMP02115,Store Associate,ST018,Night,59,8
EMP01664,Store Associate,ST078,Morning,47,4
EMP00935,Rider Coordinator,ST017,Afternoon,59,5
EMP01430,Store Associate,ST030,Morning,48,5
EMP00328,Picker,ST074,Morning,47,6
EMP00877,Store Associate,ST082,Evening,51,6
EMP00309,Store Associate,ST064,Afternoon,40,6
EMP00427,Picker,ST001,Evening,40,1
EMP01388,Picker,ST069,Evening,39,5
EMP01314,Packer,ST022,Afternoon,49,4
EMP00888,Store Associate,ST009,Afternoon,38,7
EMP00228,Supervisor,ST098,Afternoon,49,7
EMP01887,Store Associate,ST011,Morning,41,9
EMP02160,Store Associate,ST039,Afternoon,39,7
EMP01291,Rider Coordinator,ST050,Night,52,5
EMP01582,Rider Coordinator,ST060,Morning,53,1
EMP00427,Picker,ST041,Afternoon,33,6
EMP02158,Store Associate,ST082,Morning,36,6
EMP00229,Picker,ST049,Evening,53,2
EMP00700,Picker,ST007,Evening,54,3
EMP02323,Store Associate,ST059,Afternoon,52,4
EMP00404,Picker,ST012,Afternoon,58,8
EMP00985,Picker,ST003,Evening,48,6
EMP00936,Packer,ST021,Morning,54,6
EMP02101,Store Associate,ST005,Afternoon,38,4
EMP01578,Store Associate,ST080,Evening,51,4
EMP00702,Picker,ST044,Afternoon,45,3
EMP01197,Store Associate,ST077,Morning,58,9
EMP01516,Picker,ST033,Afternoon,44,5
EMP01340,Picker,ST040,Afternoon,39,6
EMP00253,Store Associate,ST036,Afternoon,55,6
EMP00114,Rider Coordinator,ST010,Afternoon,56,6
EMP00601,Store Associate,ST037,Morning,51,9
EMP00713,Packer,ST007,Afternoon,36,3
EMP01479,Store Associate,ST049,Afternoon,45,2
EMP01459,Store Associate,ST010,Evening,40,9
EMP01806,Packer,ST074,Evening,49,7
EMP02480,Packer,ST050,Afternoon,43,7
EMP02026,Picker,ST010,Night,42,9
EMP02281,Supervisor,ST059,Night,42,4
EMP00890,Picker,ST019,Afternoon,51,11
EMP01411,Packer,ST030,Afternoon,41,6
EMP02392,Picker,ST002,Afternoon,44,4
EMP01931,Supervisor,ST010,Afternoon,47,9
EMP00214,Picker,ST060,Evening,51,5
EMP01740,Store Associate,ST096,Afternoon,40,6
EMP00874,Picker,ST024,Evening,45,8
EMP02008,Store Associate,ST012,Night,46,5
EMP00696,Store Associate,ST048,Afternoon,49,6
EMP01727,Packer,ST071,Evening,58,9
EMP00137,Rider Coordinator,ST037,Evening,49,8
EMP01415,Picker,ST025,Afternoon,48,5
EMP02427,Store Associate,ST041,Morning,39,6
EMP00532,Store Associate,ST070,Evening,38,5
EMP00505,Packer,ST050,Afternoon,59,8
